400.038056,7.088e-29,0.0702,3,6,6,1265,1175,1273
400.145652,6.614e-29,0.0699,3,6,6,1265,1175,1273
400.907675,3.377e-29,0.072,3,6,6,1265,1175,1273
401.634092,7.586e-29,0.0705,3,6,6,1265,1175,1273
401.656,8.051e-29,0.0709,3,6,6,1265,1175,1273
402.500493,3.137e-29,0.0712,3,6,6,1265,1175,1273
403.127891,8.528e-29,0.0712,3,6,6,1265,1175,1273
403.269514,8.959e-29,0.0716,3,6,6,1265,1175,1273
404.094668,2.849e-29,0.0705,3,6,6,1265,1175,1273
404.627243,9.389e-29,0.072,3,6,6,1265,1175,1273
404.878658,9.76e-29,0.0725,3,6,6,1265,1175,1273
405.00053,1.058e-30,0.0665,3,6,6,1265,1175,1273
405.689866,2.533e-29,0.0699,3,6,6,1265,1175,1273
406.132319,1.011e-28,0.073,3,6,6,1265,1175,1273
406.483486,1.04e-28,0.0735,3,6,6,1265,1175,1273
406.728639,1.439e-30,0.0668,3,6,6,1265,1175,1273
407.285728,2.205e-29,0.0694,3,6,6,1265,1175,1273
407.643274,1.065e-28,0.074,3,6,6,1265,1175,1273
408.084046,1.081e-28,0.0746,3,6,6,1265,1175,1273
408.446518,1.923e-30,0.0671,3,6,6,1265,1175,1273
408.881865,1.882e-29,0.0689,3,6,6,1265,1175,1273
409.160245,1.093e-28,0.0752,3,6,6,1265,1175,1273
409.680379,1.097e-28,0.0759,3,6,6,1265,1175,1273
410.154526,2.524e-30,0.0675,3,6,6,1265,1175,1273
410.477867,1.575e-29,0.0685,3,6,6,1265,1175,1273
410.683349,1.093e-28,0.0766,3,6,6,1265,1175,1273
411.272518,1.081e-28,0.0774,3,6,6,1265,1175,1273
411.853005,3.254e-30,0.0678,3,6,6,1265,1175,1273
412.073292,1.293e-29,0.0681,3,6,6,1265,1175,1273
412.212686,1.061e-28,0.0782,3,6,6,1265,1175,1273
412.860489,1.033e-28,0.0791,3,6,6,1265,1175,1273
413.446171,1.314e-30,0.0623,3,6,5,1175,1175,1273
413.542283,4.118e-30,0.0681,3,6,6,1265,1175,1273
413.667675,1.042e-29,0.0678,3,6,6,1265,1175,1273
